Race Name,Race Time,Race Distance,Tips,Tipster,Runner Name,Rider Name,Trainer Name,Rating,Last Three Starts,Form,Weight,Prize Money,Sire,Dam,Total,Win Percent,Place Percent,Result,This Track,This Season,Track,Distance,Track and Distance,Class,First Up,Second Up,Jockey,Firm,Good,Soft,Heavy
PRIX GAZALA,14:42:00Z,2400,4-10-7,ZE TURF,PERFECT RUN,H BESNIER,D .BRESSOU,77,80,,58.0,$0,Djidani,No More Tears,2: 0 - 0,0,0,1: 0 - 0,,0:0-0-0,0: 0 - 0,1: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0
PRIX GAZALA,14:42:00Z,2400,4-10-7,ZE TURF,KARLARINA,A BADEL,S .NIGGE,87,277,,58.0,$15732,Le Havre,Karsabruni,4: 0 - 2,0,50,,,0:0-0-0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0
PRIX GAZALA,14:42:00Z,2400,4-10-7,ZE TURF,AVIATRICE,T BACHELOT,S. WATTEL,99,5,,58.0,$957,Muhtathir,Landing Site,1: 0 - 0,0,0,1: 0 - 0,,0:0-0-0,0: 0 - 0,1: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0
PRIX GAZALA,14:42:00Z,2400,4-10-7,ZE TURF,GLADYS SENORA,C GUITRAUD,Y. BARBEROT,100,54,,58.0,$5244,Anodin,Nina Senora,2: 0 - 0,0,0,1: 0 - 0,,0:0-0-0,0: 0 - 0,1: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0
PRIX GAZALA,14:42:00Z,2400,4-10-7,ZE TURF,LADY MAG,V CHEMINAUD,H. DE NICOLAY,84,803,,58.0,$6243,Zoffany,Seal Bay,4: 0 - 1,0,25,1: 0 - 1,,0:0-0-0,0: 0 - 0,1: 0 - 1,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0
PRIX GAZALA,14:42:00Z,2400,4-10-7,ZE TURF,LOUVE DES NAD,M Q PERRETTE,MLLE A.WATTEL,70,0,,58.0,$0,Silver Frost,Loup The Loup,1: 0 - 0,0,0,,,0:0-0-0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0
PRIX GAZALA,14:42:00Z,2400,4-10-7,ZE TURF,CABIYA,C SOUMILLON,M. DELZANGLES,0,,,56.0,$0,Lawman,Caminiya,0: 0 - 0,0,0,,,0:0-0-0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0
PRIX GAZALA,14:42:00Z,2400,4-10-7,ZE TURF,TAKAWOOD,L GROSSO,J.V. TOUX,0,,,56.0,$0,Ivawood,Takaliyda,0: 0 - 0,0,0,,,0:0-0-0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0
PRIX GAZALA,14:42:00Z,2400,4-10-7,ZE TURF,ASSIGNED,S PASQUIER,N. CLEMENT,0,,,56.0,$0,Camelot,Entrust,0: 0 - 0,0,0,,,0:0-0-0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0
PRIX GAZALA,14:42:00Z,2400,4-10-7,ZE TURF,RAISE YOU FIRST,P C BOUDOT,Y. BARBEROT,0,,,56.0,$0,Maxios,Royal Chapadinha,0: 0 - 0,0,0,,,0:0-0-0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0,0: 0 - 0
